t,mean_x
0.0,0.0
1.0,1.0
2.0,1.9765625
3.0,2.9453125
4.0,3.8984375
5.0,4.8359375
6.0,5.7578125
7.0,6.65625
8.0,7.5390625
9.0,8.4140625
10.0,9.2890625
11.0,10.1484375
12.0,11.015625
13.0,11.8828125
14.0,12.734375
15.0,13.5859375
16.0,14.4296875
17.0,15.2734375
18.0,16.1171875
19.0,16.9609375
20.0,17.8046875
21.0,18.640625
22.0,19.4765625
23.0,20.3125
24.0,21.1484375
25.0,21.96875
26.0,22.7890625
27.0,23.609375
28.0,24.4296875
29.0,25.234375
30.0,26.0234375
31.0,26.8046875
32.0,27.5859375
33.0,28.375
34.0,29.1484375
35.0,29.8984375
36.0,30.6484375
37.0,31.3828125
38.0,32.109375
39.0,32.828125
40.0,33.53125
41.0,34.234375
42.0,34.9375
43.0,35.640625
44.0,36.34375
45.0,37.0390625
46.0,37.734375
47.0,38.421875
48.0,39.1015625
49.0,39.765625
50.0,40.4140625
51.0,41.046875
52.0,41.671875
53.0,42.296875
54.0,42.90625
55.0,43.5
56.0,44.0859375
57.0,44.65625
58.0,45.2265625
59.0,45.78125
60.0,46.328125
61.0,46.875
62.0,47.3984375
63.0,47.921875
64.0,48.4296875
65.0,48.921875
66.0,49.4140625
67.0,49.9140625
68.0,50.3984375
69.0,50.875
70.0,51.3515625
71.0,51.828125
72.0,52.3046875
73.0,52.78125
74.0,53.2578125
75.0,53.7265625
76.0,54.1953125
77.0,54.65625
78.0,55.1328125
79.0,55.59375
80.0,56.046875
81.0,56.484375
82.0,56.90625
83.0,57.3203125
84.0,57.71875
85.0,58.1171875
86.0,58.5078125
87.0,58.8984375
88.0,59.28125
89.0,59.6640625
90.0,60.0234375
91.0,60.375
92.0,60.7265625
93.0,61.078125
94.0,61.421875
95.0,61.765625
96.0,62.109375
97.0,62.453125
98.0,62.7890625
99.0,63.1171875
100.0,63.4453125
101.0,63.7734375
102.0,64.09375
103.0,64.4140625
104.0,64.7265625
105.0,65.0390625
106.0,65.3359375
107.0,65.6328125
108.0,65.921875
109.0,66.1953125
110.0,66.46875
111.0,66.7578125
112.0,67.046875
113.0,67.3359375
114.0,67.6328125
115.0,67.9375
116.0,68.2265625
117.0,68.515625
118.0,68.796875
119.0,69.078125
120.0,69.375
121.0,69.671875
122.0,69.9453125
123.0,70.2265625
124.0,70.5
125.0,70.78125
126.0,71.0625
127.0,71.3515625
128.0,71.65625
129.0,71.9609375
130.0,72.265625
131.0,72.5546875
132.0,72.8359375
133.0,73.1171875
134.0,73.3984375
135.0,73.6796875
136.0,73.9609375
137.0,74.234375
138.0,74.5
139.0,74.765625
140.0,75.0234375
141.0,75.28125
142.0,75.53125
143.0,75.78125
144.0,76.03125
145.0,76.265625
146.0,76.46875
147.0,76.671875
148.0,76.8671875
149.0,77.0625
150.0,77.2578125
151.0,77.453125
152.0,77.65625
153.0,77.875
154.0,78.09375
155.0,78.3203125
156.0,78.546875
157.0,78.7734375
158.0,79.0078125
159.0,79.265625
160.0,79.5234375
161.0,79.78125
162.0,80.03125
163.0,80.28125
164.0,80.53125
165.0,80.78125
166.0,81.046875
167.0,81.28125
168.0,81.4921875
169.0,81.6953125
170.0,81.8984375
171.0,82.1015625
172.0,82.3125
173.0,82.5234375
174.0,82.7421875
175.0,82.953125
176.0,83.171875
177.0,83.390625
178.0,83.609375
179.0,83.8125
180.0,84.015625
181.0,84.1953125
182.0,84.3671875
183.0,84.5390625
184.0,84.7109375
185.0,84.8828125
186.0,85.046875
187.0,85.2109375
188.0,85.3671875
189.0,85.5234375
190.0,85.6796875
191.0,85.8359375
192.0,85.984375
193.0,86.1328125
194.0,86.2734375
195.0,86.421875
196.0,86.5703125
197.0,86.7109375
198.0,86.84375
199.0,86.96875
200.0,87.09375
